Label,Mean,StdDev,Max,Min,Median,Mode,NumberOfVoxels,Volume
1,286.132,158.196,855,0,242,228,243,10.058
2,215.777,124.522,725,0,200,147,444,18.378
3,298.784,133.019,866,3,279,217,1305,54.017
4,355.601,182.525,1448,0,337,0,3570,147.770
5,395.538,116.119,777,99,387,398,599,24.794
6,376.192,191.133,1671,0,356,0,5664,234.445
7,161.190,83.725,557,0,147,94,1779,73.637
8,268.265,202.199,1649,0,262,0,6833,282.832
9,426.437,268.527,1662,0,440,0,6775,280.432
10,381.238,284.511,1862,0,395,0,4010,165.982
11,378.694,195.253,1675,0,351,0,5142,212.838
12,970.788,964.463,4095,0,596,0,1686,69.787
13,910.491,783.848,4095,0,996,0,4448,184.112
14,811.026,706.348,4095,0,793,0,5745,237.798
15,1166.645,1022.690,4095,0,1210,0,5069,209.817
16,1132.625,944.744,4095,0,1172,0,4157,172.067
17,1223.205,1038.470,4095,0,1267,0,4797,198.558
18,1119.498,867.529,4095,0,1105,0,10761,445.421
19,786.386,600.659,3885,0,772,0,1748,72.353
20,867.190,836.167,4095,0,796,0,2794,115.650
21,612.452,332.321,3165,75,534,412,3894,161.181
22,1044.136,599.946,3957,0,1096,0,5661,234.321
23,749.010,293.103,2689,0,716,0,2752,113.911
24,1827.783,1196.682,4095,0,1943,0,6084,251.830
25,2201.931,1434.580,4095,0,2374,0,9640,399.020
26,2227.484,1364.345,4095,0,2457,0,10447,432.423
27,1621.040,966.157,4095,0,1649,0,5616,232.458
28,1989.397,1326.575,4095,0,2165,0,4984,206.298
29,1779.602,1051.302,4095,0,1782,0,5966,246.945
30,2207.812,1079.377,4095,57,2146,4095,117,4.843
31,1837.413,1031.890,4095,0,1850,4095,2834,117.305
32,2214.165,1736.536,4095,0,2853,4095,2880,119.209
33,1621.299,712.334,4095,213,1485,4095,1077,44.579
34,1607.525,1671.461,4095,0,701,4095,2268,93.877
35,2008.431,1350.247,4095,0,2191,4095,3677,152.199
36,2910.999,1635.638,4095,0,4064,4095,12958,536.359
37,1486.506,1657.612,4095,0,552,4095,1844,76.327
38,1581.035,847.314,4095,304,1364,4095,5119,211.886
39,2146.537,1410.446,4095,0,2349,0,3823,158.242
40,2607.846,1275.049,4095,0,2685,4095,31664,1310.640
41,2071.654,1345.973,4095,0,2197,4095,3253,134.649
42,1961.762,1502.187,4095,0,2065,0,3402,140.816
43,2062.861,1287.724,4095,0,2164,4095,3025,125.211
44,1130.047,709.434,4095,255,930,4095,1751,72.478
45,2194.675,1508.921,4095,0,2380,4095,7731,320.002
46,1457.619,740.248,4095,1,1341,4095,3291,136.221
47,1312.143,865.584,4095,1,1178,4095,2201,91.104
48,1659.455,803.723,4095,0,1454,4095,5216,215.901
49,1520.064,1342.780,4095,0,1301,0,4577,189.452
50,2230.330,1696.011,4095,0,2686,4095,2672,110.600
51,2066.248,1741.191,4095,0,2080,4095,3416,141.395
52,812.699,472.367,4095,184,694,576,4024,166.562
53,616.648,462.820,4095,0,575,0,7269,300.879
54,1883.647,1675.883,4095,0,1931,0,3406,140.982
55,1675.936,1798.279,4095,0,604,4095,1741,72.064
56,278.899,193.142,1263,0,238,0,3254,134.690
57,331.671,267.502,1570,0,313,0,3975,164.534
58,1063.917,953.564,4095,0,824,0,2959,122.479
59,446.754,465.263,3908,0,321,0,2651,109.730
60,1274.220,1500.437,4095,0,443,0,1698,70.284
61,1197.125,1166.545,4095,0,825,0,1577,65.275
62,424.500,388.285,2672,0,376,0,5986,247.773
63,277.414,223.658,1293,0,262,0,6169,255.348
64,268.671,314.697,2312,0,171,0,2935,121.486
65,416.904,369.262,2813,0,393,0,4281,177.200
66,295.184,196.696,1884,0,253,193,3097,128.191
67,287.134,224.134,1203,0,269,0,6127,253.609
68,239.599,168.775,865,0,228,0,5461,226.042
69,566.133,529.750,4038,0,500,0,5674,234.859
70,611.443,519.154,3399,0,549,0,10401,430.519
71,395.841,357.177,3505,0,308,0,4388,181.629
72,358.712,329.830,2763,0,306,0,4069,168.425
73,159.953,133.151,767,0,133,0,2624,108.613
74,105.513,104.008,668,0,78,0,3263,135.062
75,891.966,1170.415,4095,0,325,0,3248,134.442
76,124.970,100.626,533,0,116,0,5828,241.233
77,225.490,197.456,851,0,189,0,7781,322.072
78,99.692,72.597,519,0,90,0,6564,271.698
79,85.655,82.797,406,0,64,0,3863,159.898
80,249.702,279.639,2030,0,153,0,6068,251.167
81,180.308,123.212,767,0,181,0,20481,847.752
82,52.550,55.965,397,0,37,0,4794,198.434
83,318.252,355.578,1702,0,163,0,3755,155.427
84,143.292,128.398,711,0,115,0,6590,272.774
85,104.619,90.259,445,0,91,0,9584,396.702
86,82.874,88.542,491,0,57,0,3852,159.442
87,32.647,34.520,456,0,24,0,4581,189.617
88,390.932,524.166,3738,0,174,0,2291,94.829
89,166.946,141.337,934,0,145,0,10583,438.053
90,33.588,38.946,215,0,20,0,4924,203.815
91,52.408,55.178,300,0,37,0,3532,146.197
92,76.468,79.141,471,0,56,0,9652,399.517
93,50.945,58.845,334,0,29,0,3340,138.250
94,81.585,83.261,516,0,59,0,4884,202.159
95,63.000,58.321,410,0,52,0,8038,332.710
96,13.998,24.257,169,0,0,0,1239,51.285
