Label,Mean,StdDev,Max,Min,Median,Mode,NumberOfVoxels,Volume
1,569.190,427.953,3330,0,470,647,1960,81.129
2,677.256,481.306,3902,103,551,317,888,36.756
3,1817.013,1225.131,4095,0,1771,0,6841,283.163
4,1728.074,1127.141,4095,0,1723,0,5041,208.658
5,1430.854,849.839,4095,0,1348,0,7072,292.725
6,1553.205,898.513,4095,0,1489,0,9324,385.940
7,1524.633,1027.037,4095,0,1375,0,10189,421.744
8,788.249,563.356,4095,168,650,586,927,38.370
9,834.262,361.778,2419,0,824,0,1713,70.905
10,2453.826,1604.951,4095,0,3017,4095,12862,532.385
11,1380.211,769.034,4095,0,1266,4095,3929,162.630
12,1387.289,809.120,4095,0,1270,4095,3368,139.409
13,859.669,465.107,3666,0,770,665,1673,69.249
14,1162.388,934.465,4095,0,1091,0,9107,376.958
15,1190.952,704.259,4095,11,1018,4095,13847,573.157
16,1987.074,1176.588,4095,0,2036,0,13991,579.117
17,2154.494,1637.339,4095,0,2436,0,7550,312.510
18,1328.998,803.245,4095,0,1190,0,2657,109.979
19,2605.385,1720.248,4095,0,3513,4095,9983,413.217
20,1434.608,860.646,4095,0,1310,0,7977,330.185
21,1965.614,1272.089,4095,0,1997,0,14605,604.532
22,1058.125,618.449,4095,0,950,4095,7170,296.781
23,1540.322,1188.835,4095,0,1596,0,9723,402.456
24,1620.114,1339.289,4095,0,1449,0,7928,328.157
25,2441.484,1526.447,4095,0,2702,4095,15781,653.209
26,1136.441,1042.078,4095,0,1049,0,4735,195.992
27,1591.999,987.559,4095,0,1544,0,6364,263.419
28,1601.240,1126.318,4095,0,1656,0,5650,233.865
29,1238.553,726.101,4095,0,1135,4095,4898,202.739
30,1783.894,1183.889,4095,0,1708,0,6687,276.789
31,1842.808,1128.564,4095,0,1829,0,14020,580.317
32,1502.129,995.033,4095,0,1317,4095,5115,211.721
33,1476.906,1095.276,4095,0,1609,0,2526,104.556
34,1467.683,932.527,4095,0,1334,0,5553,229.850
35,1406.871,813.712,4095,0,1229,4095,22505,931.530
36,1198.533,1025.432,4095,0,1089,0,3384,140.071
37,1241.459,683.846,4095,0,1123,4095,6416,265.572
38,1654.936,1008.009,4095,0,1659,0,5943,245.993
39,995.674,581.382,4070,188,858,891,798,33.031
40,1197.993,721.519,4095,0,1077,0,5530,228.898
41,1181.725,1067.058,4095,0,1252,0,2236,92.553
42,1480.571,1055.529,4095,0,1429,0,6048,250.340
43,1641.588,1098.824,4095,0,1647,0,6486,268.469
44,1911.912,1286.851,4095,0,2001,0,8882,367.645
45,2008.622,1510.131,4095,0,2320,0,4525,187.299
46,1999.365,1147.748,4095,0,1960,0,22442,928.922
47,1759.386,1282.354,4095,0,1833,0,6638,274.761
48,1973.277,1365.781,4095,0,2113,0,6254,258.866
49,1627.692,1136.038,4095,0,1557,0,5163,213.707
