Label,Mean,StdDev,Max,Min,Median,Mode,NumberOfVoxels,Volume
1,45.504,55.179,309,0,24,0,2896,119.872
2,37.618,53.563,331,0,13,0,340,14.073
3,95.053,75.552,550,0,85,0,1986,82.205
4,62.643,73.381,463,0,37,0,5685,235.314
5,96.272,97.376,469,0,79,0,4327,179.104
6,18.910,25.850,166,0,7,0,2841,117.595
7,8.782,21.748,171,0,0,0,2270,93.960
8,22.252,33.455,255,0,5,0,3478,143.962
9,6.834,18.796,170,0,0,0,1890,78.231
10,144.905,135.484,930,0,138,0,4686,193.963
11,70.449,102.911,756,0,0,0,2986,123.597
12,111.523,99.128,511,0,100,0,2370,98.099
13,78.454,80.401,557,0,61,0,9565,395.916
14,71.405,83.015,620,0,49,0,3452,142.886
15,29.921,46.889,422,0,10,0,5445,225.380
16,280.127,290.933,1645,0,236,0,4276,176.993
17,3.461,12.217,100,0,0,0,764,31.624
18,2.094,9.899,135,0,0,0,4362,180.552
19,27.347,47.693,257,0,0,0,202,8.361
20,25.938,41.608,335,0,0,0,10880,450.346
21,99.852,114.846,576,0,56,0,1497,61.964
22,150.125,136.193,1170,0,137,0,6256,258.949
23,9.746,24.878,251,0,0,0,4822,199.593
24,23.052,38.237,277,0,0,0,5982,247.608
25,60.250,66.444,540,0,42,0,11696,484.122
26,2.178,10.167,132,0,0,0,6047,250.298
27,105.458,125.371,840,0,63,0,5355,221.655
28,19.738,26.698,161,0,8,0,4395,181.918
29,164.027,158.746,859,0,143,0,4030,166.810
30,133.018,124.759,1043,0,111,0,3661,151.537
31,23.125,40.140,416,0,0,0,7826,323.935
32,94.843,96.135,650,0,78,0,3935,162.878
33,23.653,33.869,312,0,7,0,9619,398.151
34,128.550,127.901,807,0,112,0,3912,161.926
35,39.413,48.089,376,0,24,0,2714,112.338
36,155.291,136.803,860,0,140,0,5342,221.117
37,126.814,109.194,617,0,119,0,5501,227.698
38,54.138,71.864,681,0,30,0,6770,280.225
39,59.592,71.188,431,0,31,0,7357,304.522
40,89.121,79.210,568,0,81,0,8014,331.716
41,0.217,2.438,56,0,0,0,1878,77.734
42,1.950,8.907,122,0,0,0,4042,167.307
43,0.820,5.302,93,0,0,0,7040,291.400
44,49.549,62.202,409,0,28,0,5016,207.623
45,9.641,24.156,237,0,0,0,9380,388.258
46,95.256,111.314,534,0,44,0,4835,200.131
47,8.824,28.463,348,0,0,0,12927,535.076
48,17.363,39.076,368,0,0,0,12612,522.037
49,70.220,90.886,742,0,46,0,5101,211.141
50,26.606,54.887,337,0,0,0,1070,44.290
51,44.080,51.451,491,0,29,0,11564,478.658
52,75.241,87.482,568,0,48,0,10942,452.913
53,14.884,29.978,197,0,0,0,4691,194.170
54,3.378,12.171,100,0,0,0,180,7.451
55,104.875,120.281,579,0,59,0,4344,179.807
56,161.443,142.667,1022,0,154,0,5789,239.619
57,93.687,89.596,612,0,75,0,11753,486.482
58,62.527,76.643,569,0,37,0,19941,825.400
59,40.042,41.490,236,0,29,0,6337,262.302
60,28.957,42.433,352,0,10,0,5055,209.237
61,135.563,145.797,745,0,95,0,2547,105.426
62,47.010,69.624,384,0,0,0,2687,111.221
63,74.857,85.992,735,0,52,0,3667,151.785
64,31.238,58.737,448,0,0,0,5745,237.798
65,42.172,56.655,391,0,16,0,6279,259.901
66,117.926,125.598,757,0,92,0,5175,214.204
67,42.676,50.245,318,0,26,0,4887,202.283
68,1.543,8.457,197,0,0,0,11882,491.821
69,60.314,72.793,602,0,36,0,5246,217.143
70,55.678,90.847,462,0,0,0,2525,104.515
71,1.096,6.752,114,0,0,0,9498,393.142
72,55.090,80.416,449,0,0,0,2580,106.792
73,38.754,57.087,300,0,0,0,3237,133.986
74,83.613,98.968,549,0,46,0,4932,204.146
75,28.415,44.911,274,0,0,0,3595,148.805
76,9.197,25.309,355,0,0,0,6890,285.192
77,9.938,25.822,242,0,0,0,4303,178.110
78,63.900,74.690,611,0,42,0,10831,448.318
79,28.979,35.680,306,0,16,0,8214,339.995
80,56.077,75.184,462,0,23,0,3740,154.807
81,71.472,52.133,349,0,68,0,6103,252.616
82,17.465,27.383,250,0,3,0,11336,469.221
83,31.541,44.106,343,0,11,0,3099,128.274
84,43.825,55.352,677,0,23,0,26104,1080.500
85,63.128,72.189,575,0,42,0,10737,444.427
86,57.635,70.194,641,0,30,0,15122,625.932
87,76.920,90.239,666,0,53,0,6074,251.416
88,89.359,100.714,779,0,66,0,6580,272.360
89,115.378,113.936,535,0,101,0,7740,320.375
90,81.295,80.253,688,0,67,0,2869,118.754
91,21.731,43.329,410,0,0,0,8177,338.463
92,92.352,128.770,583,0,9,0,2566,106.212
93,54.344,87.964,479,0,0,0,2218,91.808
94,93.501,95.803,587,0,74,0,5737,237.467
95,9.541,20.427,143,0,0,0,1493,61.798
96,125.258,147.642,744,0,52,0,3009,124.549
97,122.899,130.308,634,0,85,0,3012,124.673
98,36.688,49.377,344,0,13,0,5363,221.986
99,118.100,105.477,511,0,107,0,2906,120.285
100,34.521,45.387,350,0,16,0,4634,191.811
101,78.474,62.714,357,0,69,0,209,8.651
