Label,Mean,StdDev,Max,Min,Median,Mode,NumberOfVoxels,Volume
1,839.890,852.768,4095,0,787,0,2173,89.945
2,1013.351,712.919,4095,0,853,4095,6559,271.491
3,844.139,583.106,4095,0,720,4095,6063,250.960
4,1951.602,1287.213,4095,0,2000,0,14454,598.282
5,1288.633,1041.319,4095,0,1197,0,6124,253.485
6,1166.484,864.958,4095,0,1149,0,3702,153.234
7,1105.036,670.166,4095,0,1077,0,5087,210.562
8,1164.873,959.542,4095,0,1177,0,5773,238.957
9,740.477,586.232,4095,0,691,0,8438,349.267
10,1566.715,1305.816,4095,0,1589,0,8713,360.649
11,1384.589,1500.903,4095,0,955,0,2990,123.762
12,1291.546,1253.415,4095,0,1147,0,5285,218.757
13,957.531,830.898,4095,0,763,0,7726,319.795
14,811.485,765.316,4095,0,686,0,8810,364.665
15,1382.046,1268.737,4095,0,1197,0,7874,325.922
16,1664.164,1204.163,4095,0,1744,0,12930,535.200
17,1159.290,936.180,4095,0,1001,0,6472,267.890
18,843.644,814.324,4095,0,699,0,6107,252.782
19,1270.389,933.967,4095,0,1178,0,9613,397.902
20,1892.904,1834.654,4095,0,1857,0,3613,149.550
21,1878.509,1859.620,4095,0,1578,0,3563,147.480
22,922.572,763.195,4095,0,863,0,5854,242.309
23,2090.181,1737.098,4095,0,2562,0,8504,351.999
24,904.475,779.677,4095,0,836,0,4499,186.223
25,962.754,772.774,4095,0,821,0,8051,333.248
26,1387.813,1529.310,4095,0,635,0,2804,116.063
27,1095.360,770.476,4095,0,989,0,8233,340.781
28,423.156,437.873,2990,0,388,0,3820,158.118
29,541.152,593.999,4095,0,446,0,3384,140.071
30,661.416,534.394,4095,0,555,0,3428,141.892
31,516.099,520.503,4095,0,432,0,5846,241.978
32,938.439,788.978,4095,0,866,0,5278,218.468
33,530.242,589.871,4095,0,391,0,5399,223.476
34,1311.665,1385.054,4095,0,980,0,2647,109.565
35,969.309,676.373,4095,0,837,0,8475,350.798
36,814.467,568.901,4095,0,707,0,5125,212.135
37,878.066,611.358,4095,0,876,0,5210,215.653
38,1009.362,722.878,4095,0,907,0,5138,212.673
39,611.818,495.288,4095,0,481,0,2727,112.876
40,693.924,367.097,2879,91,622,691,846,35.018
41,990.504,682.137,4095,0,925,0,3293,136.304
42,1106.486,951.177,4095,0,1000,0,3024,125.170
43,968.434,941.332,4095,0,754,0,5308,219.709
44,640.355,666.559,4095,0,484,0,6436,266.400
45,532.658,469.343,4095,0,456,0,11763,486.895
46,293.739,316.658,2636,0,233,0,3563,147.480
47,355.216,204.384,1578,0,323,210,671,27.774
48,1326.707,1012.414,4095,0,1147,0,22899,947.838
49,225.085,182.335,1041,0,222,0,6185,256.010
50,152.802,142.799,1200,0,132,0,4455,184.402
51,1017.540,1068.327,4095,0,716,0,10781,446.248
52,1209.310,874.769,4095,0,1149,0,2977,123.224
53,726.249,555.976,4095,0,608,0,7953,329.191
54,316.541,160.632,1406,0,294,283,2604,107.785
55,800.711,799.672,4095,0,653,0,10126,419.137
56,259.511,369.137,2778,0,131,0,4062,168.135
57,1287.876,1674.595,4095,0,302,0,1359,56.252
58,924.642,834.585,4095,0,694,0,8913,368.928
59,758.294,812.673,4095,0,572,0,10445,432.341
60,1097.578,1074.822,4095,0,694,0,9542,394.964
61,1783.004,1690.358,4095,0,1443,0,9043,374.309
62,189.912,171.307,1208,0,167,0,5693,235.645
63,339.938,310.804,3014,0,291,0,11014,455.893
64,232.845,224.970,2441,0,186,0,5766,238.667
65,1521.616,1193.300,4095,0,1336,0,19904,823.869
66,487.419,569.355,4095,0,356,0,5802,240.157
67,1002.021,1288.774,4095,0,351,0,7980,330.309
68,971.305,1419.897,4095,0,34,0,2491,103.108
69,139.081,111.746,671,0,122,0,3133,129.681
70,2005.696,1428.767,4095,0,1896,4095,22581,934.675
71,186.864,136.364,1209,0,170,0,2879,119.168
72,967.510,1388.173,4095,0,171,0,2466,102.073
73,1200.665,1213.723,4095,0,964,0,3025,125.211
74,1163.534,841.641,4095,0,1148,0,4168,172.522
75,830.654,1274.385,4095,0,203,0,13765,569.762
76,199.824,164.960,1012,0,185,0,5858,242.475
77,828.523,801.096,4095,0,650,0,21898,906.405
78,303.751,332.628,4095,0,224,0,11089,458.997
79,1631.921,1400.653,4095,0,1561,0,7064,292.394
80,315.592,274.173,4095,0,263,180,3640,150.667
81,953.232,928.865,4095,0,698,0,7837,324.390
82,124.579,100.487,805,0,109,0,5041,208.658
83,1533.200,1048.413,4095,0,1428,0,5417,224.221
84,151.741,121.651,922,0,128,0,6731,278.610
85,105.765,88.036,392,0,90,0,196,8.113
