Label,Mean,StdDev,Max,Min,Median,Mode,NumberOfVoxels,Volume
1,13.410,47.146,379.000,0,0,0,2982,123.431
2,66.412,174.516,1137.000,0,0,0,2320,96.030
3,963.808,892.491,4095.000,0,1029,0,4917,203.525
4,91.927,182.991,1307.000,0,0,0,1240,51.326
5,597.530,699.016,4095.000,0,0,0,6138,254.065
6,547.669,772.711,4095.000,0,0,0,1839,76.120
7,0.000,0.000,4.900E-324,0,0,0,7485,309.820
8,8.061,46.405,526.000,0,0,0,6704,277.493
9,0.000,0.000,4.900E-324,0,0,0,335,13.866
10,299.236,402.772,3957.000,0,0,0,5576,230.802
11,95.262,187.523,1026.000,0,0,0,6810,281.880
12,48.807,109.837,640.000,0,0,0,5556,229.975
13,88.467,214.548,2061.000,0,0,0,6089,252.037
14,6.594,40.079,418.000,0,0,0,6542,270.787
15,23.788,111.991,1180.000,0,0,0,3742,154.889
16,105.421,261.101,4095.000,0,0,0,1547,64.034
17,0.000,0.000,4.900E-324,0,0,0,2966,122.769
18,125.537,228.514,4095.000,0,0,0,13312,551.012
19,60.130,132.115,1677.000,0,0,0,9405,389.293
20,0.000,0.000,4.900E-324,0,0,0,9299,384.905
21,144.016,283.405,1599.000,0,0,0,936,38.743
22,0.000,0.000,4.900E-324,0,0,0,3048,126.163
23,0.000,0.000,4.900E-324,0,0,0,3577,148.060
24,0.000,0.000,4.900E-324,0,0,0,942,38.991
25,0.000,0.000,4.900E-324,0,0,0,152,6.292
26,390.301,522.778,4095.000,0,297,0,8167,338.049
27,24.986,116.720,2273.000,0,0,0,2427,100.459
28,236.916,307.900,1868.000,0,0,0,11903,492.690
29,420.085,558.310,3969.000,0,0,0,4270,176.744
30,129.462,246.005,2045.000,0,0,0,2962,122.603
31,250.102,407.766,4095.000,0,0,0,5290,218.964
32,0.000,0.000,4.900E-324,0,0,0,8491,351.460
33,0.000,0.000,4.900E-324,0,0,0,7013,290.283
34,0.000,0.000,4.900E-324,0,0,0,3663,151.619
35,0.000,0.000,4.900E-324,0,0,0,16344,676.513
36,22.459,115.708,1420.000,0,0,0,3165,131.006
37,0.000,0.000,4.900E-324,0,0,0,5674,234.859
38,12.093,71.384,644.000,0,0,0,3076,127.322
39,10.518,89.095,1154.000,0,0,0,6620,274.016
40,165.441,365.081,4095.000,0,0,0,10426,431.554
41,691.014,1027.936,4095.000,0,0,0,1430,59.191
42,0.000,0.000,4.900E-324,0,0,0,806,33.362
43,0.019,1.881,185.000,0,0,0,9672,400.345
44,0.000,0.000,4.900E-324,0,0,0,4663,193.011
45,259.399,341.430,4095.000,0,0,0,20518,849.283
46,255.042,359.311,2570.000,0,0,0,15902,658.217
47,17.055,95.572,1415.000,0,0,0,8938,369.963
48,207.702,371.165,2431.000,0,0,0,5842,241.813
49,333.533,359.050,2168.000,0,288,0,8729,361.312
50,0.000,0.000,4.900E-324,0,0,0,3249,134.483
51,141.163,304.358,2609.000,0,0,0,2767,114.532
52,73.432,215.645,1764.000,0,0,0,3537,146.404
53,118.414,306.348,4095.000,0,0,0,7237,299.555
54,171.980,479.849,4095.000,0,0,0,8188,338.919
55,111.675,210.213,1136.000,0,0,0,1540,63.744
56,127.414,217.784,1945.000,0,0,0,8950,370.459
57,222.080,497.912,3619.000,0,0,0,2707,112.048
58,450.902,519.079,3547.000,0,0,0,8182,338.670
59,0.000,0.000,4.900E-324,0,0,0,8619,356.759
60,368.722,433.187,2576.000,0,0,0,8229,340.616
61,1.299,23.200,647.000,0,0,0,7168,296.699
62,402.078,550.643,2839.000,0,0,0,4231,175.130
63,0.000,0.000,4.900E-324,0,0,0,3081,127.529
64,178.482,349.926,2071.000,0,0,0,2000,82.784
65,21.851,79.517,507.000,0,0,0,3344,138.415
66,241.332,389.764,1588.000,0,0,0,4285,177.365
67,309.215,602.725,3325.000,0,0,0,3222,133.365
68,4.012,32.367,662.000,0,0,0,6953,287.799
69,165.883,240.599,4095.000,0,0,0,19706,815.673
70,172.605,438.243,4095.000,0,0,0,3700,153.151
71,145.371,284.181,4095.000,0,0,0,8923,369.342
72,22.508,98.407,983.000,0,0,0,5161,213.625
73,145.741,295.493,3144.000,0,0,0,9516,393.887
74,205.424,485.787,3137.000,0,0,0,1410,58.363
75,204.208,431.125,2988.000,0,0,0,986,40.813
76,232.251,504.363,3766.000,0,0,0,1607,66.517
77,68.248,218.364,1775.000,0,0,0,4423,183.077
78,0.000,0.000,4.900E-324,0,0,0,7090,293.470
79,268.622,651.998,4095.000,0,0,0,5717,236.639
80,401.766,705.174,4095.000,0,0,0,8312,344.051
81,87.735,287.491,2634.000,0,0,0,8125,336.311
82,199.493,381.588,3163.000,0,0,0,5687,235.397
83,49.948,221.008,2734.000,0,0,0,6809,281.839
84,299.694,403.407,2259.000,0,0,0,3081,127.529
85,97.316,194.908,1059.000,0,0,0,3813,157.828
86,473.666,600.120,3750.000,0,0,0,2249,93.091
