 Nucleus,Area,Mean,Min,Max,Sample,Channel
2,102.652,1644.602,307,4095,5,0
2,102.652,2210.441,577,4095,5,0
2,102.652,1703.26,511,4095,5,0
2,102.652,981.875,163,4095,5,0
2,102.652,528.822,61,2974,5,0
2,102.652,242.357,0,1002,5,0
2,102.652,106.223,0,415,5,0
2,102.652,38.347,0,231,5,0
2,102.652,18.763,0,174,5,0
2,102.652,498.513,26,1527,5,1
2,102.652,525.916,55,1519,5,1
2,102.652,324.936,22,1541,5,1
2,102.652,166.144,0,880,5,1
2,102.652,95.115,0,364,5,1
2,102.652,48.964,0,251,5,1
2,102.652,25,0,118,5,1
2,102.652,11.785,0,93,5,1
2,102.652,7.581,0,70,5,1
3,163.913,2259.784,486,4095,5,0
3,163.913,2273.591,0,4095,5,0
3,163.913,1155.587,0,4095,5,0
3,163.913,504.269,0,2257,5,0
3,163.913,289.279,0,1111,5,0
3,163.913,139.813,0,580,5,0
3,163.913,63.042,0,344,5,0
3,163.913,25.162,0,184,5,0
3,163.913,13.558,0,156,5,0
3,163.913,825.949,64,2161,5,1
3,163.913,567.444,51,2566,5,1
3,163.913,235.793,9,809,5,1
3,163.913,111.153,0,333,5,1
3,163.913,67.125,0,274,5,1
3,163.913,35.778,0,154,5,1
3,163.913,20.546,0,156,5,1
3,163.913,12.666,0,104,5,1
3,163.913,7.722,0,75,5,1
4,112.587,3125.715,1080,4095,5,0
4,112.587,3507.165,1388,4095,5,0
4,112.587,3157.786,905,4095,5,0
4,112.587,1957.054,359,4095,5,0
4,112.587,1088.507,243,2927,5,0
4,112.587,527.354,89,1271,5,0
4,112.587,248.348,3,528,5,0
4,112.587,108.146,0,357,5,0
4,112.587,58.762,0,249,5,0
4,112.587,657.578,114,1689,5,1
4,112.587,617.963,91,1605,5,1
4,112.587,421.829,39,1297,5,1
4,112.587,212.824,0,868,5,1
4,112.587,125.436,0,375,5,1
4,112.587,66.794,0,228,5,1
4,112.587,34.001,0,144,5,1
4,112.587,18.85,0,141,5,1
4,112.587,10.726,0,71,5,1
5,113.249,2887.781,834,4095,5,0
5,113.249,3340.534,1190,4095,5,0
5,113.249,2996.93,867,4095,5,0
5,113.249,2035.05,294,4095,5,0
5,113.249,1240.777,164,4095,5,0
5,113.249,543.794,0,2381,5,0
5,113.249,247.809,0,943,5,0
5,113.249,102.227,0,412,5,0
5,113.249,51.954,0,265,5,0
5,113.249,546.446,37,2138,5,1
5,113.249,503.118,54,1479,5,1
5,113.249,349.987,43,1043,5,1
5,113.249,198.432,0,712,5,1
5,113.249,118.893,0,412,5,1
5,113.249,60.363,0,261,5,1
5,113.249,32.238,0,154,5,1
5,113.249,16.28,0,108,5,1
5,113.249,9.673,0,80,5,1
6,129.143,2515.167,830,4095,5,0
6,129.143,3116.81,994,4095,5,0
6,129.143,3190.612,682,4095,5,0
6,129.143,2859.133,254,4095,5,0
6,129.143,1910.219,190,4095,5,0
6,129.143,813.204,0,2566,5,0
6,129.143,356.953,0,1007,5,0
6,129.143,151.623,0,486,5,0
6,129.143,77.657,0,300,5,0
6,129.143,658.855,92,2045,5,1
6,129.143,691.068,108,1632,5,1
6,129.143,657.15,81,2000,5,1
6,129.143,451.828,47,2041,5,1
6,129.143,261.782,23,1270,5,1
6,129.143,115.146,0,433,5,1
6,129.143,53.551,0,224,5,1
6,129.143,25.144,0,154,5,1
6,129.143,14.334,0,93,5,1
7,137.753,2408.294,555,4095,5,0
7,137.753,2922.02,535,4095,5,0
7,137.753,2366.156,531,4095,5,0
7,137.753,1216.892,276,4095,5,0
7,137.753,664.311,86,2142,5,0
7,137.753,318.15,0,866,5,0
7,137.753,141.805,0,394,5,0
7,137.753,57.747,0,246,5,0
7,137.753,28.291,0,201,5,0
7,137.753,665.288,70,1936,5,1
7,137.753,663.302,46,1685,5,1
7,137.753,375.252,35,1400,5,1
7,137.753,164.817,17,431,5,1
7,137.753,95.35,0,282,5,1
7,137.753,49.103,0,168,5,1
7,137.753,26.071,0,130,5,1
7,137.753,13.41,0,98,5,1
7,137.753,8.719,0,108,5,1
8,65.565,1821.629,411,4095,5,0
8,65.565,3125.871,633,4095,5,0
8,65.565,3117.434,888,4095,5,0
8,65.565,2664.04,396,4095,5,0
8,65.565,1734.072,197,4095,5,0
8,65.565,725.514,38,2532,5,0
8,65.565,316.021,0,866,5,0
8,65.565,129.403,0,376,5,0
8,65.565,59.922,0,312,5,0
8,65.565,504.963,23,1440,5,1
8,65.565,717.372,102,1574,5,1
8,65.565,693.605,134,1617,5,1
8,65.565,470.785,94,1383,5,1
8,65.565,262.806,13,1048,5,1
8,65.565,123.381,0,439,5,1
8,65.565,55.768,0,198,5,1
8,65.565,26.929,0,139,5,1
8,65.565,15.571,0,103,5,1
9,132.455,98.18,0,325,5,0
9,132.455,367.052,71,971,5,0
9,132.455,1189.981,302,3697,5,0
9,132.455,2880.391,981,4095,5,0
9,132.455,3655.435,1414,4095,5,0
9,132.455,3742.787,964,4095,5,0
9,132.455,2863.041,492,4095,5,0
9,132.455,900.825,128,2432,5,0
9,132.455,374.084,0,819,5,0
9,132.455,46.039,0,176,5,1
9,132.455,173.21,7,1619,5,1
9,132.455,513.754,54,4095,5,1
9,132.455,767.021,154,4067,5,1
9,132.455,821.149,138,1864,5,1
9,132.455,756.967,115,2253,5,1
9,132.455,389.871,74,1989,5,1
9,132.455,113.422,0,339,5,1
9,132.455,50.219,0,221,5,1
10,106.543,79.74,0,345,5,0
10,106.543,260.373,0,886,5,0
10,106.543,623.339,133,2159,5,0
10,106.543,1331.534,357,4095,5,0
10,106.543,2154.838,589,4095,5,0
10,106.543,2672.885,839,4095,5,0
10,106.543,2588.035,569,4095,5,0
10,106.543,1660.39,212,4095,5,0
10,106.543,657.293,24,2666,5,0
10,106.543,34.246,0,154,5,1
10,106.543,101.298,0,296,5,1
10,106.543,251.847,30,1272,5,1
10,106.543,401.608,30,1143,5,1
10,106.543,472.463,61,1271,5,1
10,106.543,500.792,59,1423,5,1
10,106.543,419.855,62,1280,5,1
10,106.543,198.288,1,661,5,1
10,106.543,83.068,0,295,5,1
