 Nucleus,Area,Mean,Min,Max,Sample,Channel
2,92.718,900.041,67,2903,5,1
2,92.718,603.92,80,1706,5,1
2,92.718,237.46,10,754,5,1
2,92.718,123.101,0,449,5,1
2,92.718,76.013,0,311,5,1
2,92.718,41.581,0,169,5,1
2,92.718,21.649,0,118,5,1
2,92.718,10.932,0,95,5,1
2,92.718,7.985,0,86,5,1
3,66.145,968.551,215,3504,5,1
3,66.145,318.263,73,935,5,1
3,66.145,132.009,16,347,5,1
3,66.145,66.861,0,218,5,1
3,66.145,45.272,0,174,5,1
3,66.145,30.637,0,158,5,1
3,66.145,16.673,0,121,5,1
3,66.145,9.791,0,80,5,1
3,66.145,6.871,0,82,5,1
4,96.526,964.235,144,2544,5,1
4,96.526,476.297,105,1328,5,1
4,96.526,212.822,15,705,5,1
4,96.526,104.113,0,277,5,1
4,96.526,69.702,0,215,5,1
4,96.526,39.897,0,201,5,1
4,96.526,23.095,0,116,5,1
4,96.526,13.03,0,106,5,1
4,96.526,8.107,0,78,5,1
6,84.771,1171.309,299,2994,5,1
6,84.771,1112.578,256,3835,5,1
6,84.771,602.781,110,2007,5,1
6,84.771,276.852,11,909,5,1
6,84.771,163.323,0,465,5,1
6,84.771,89.992,0,325,5,1
6,84.771,46.347,0,195,5,1
6,84.771,22.899,0,136,5,1
6,84.771,13.84,0,116,5,1
7,137.091,1076.658,22,3670,5,1
7,137.091,467.841,68,1481,5,1
7,137.091,193.836,18,573,5,1
7,137.091,99.845,0,316,5,1
7,137.091,63.992,0,195,5,1
7,137.091,37.207,0,217,5,1
7,137.091,21.051,0,123,5,1
7,137.091,12.389,0,122,5,1
7,137.091,7.836,0,80,5,1
8,84.523,973.985,110,3095,5,1
8,84.523,917.423,117,3410,5,1
8,84.523,419.966,60,1948,5,1
8,84.523,204.591,4,796,5,1
8,84.523,119.45,0,395,5,1
8,84.523,65.001,0,213,5,1
8,84.523,36.617,0,176,5,1
8,84.523,18.042,0,108,5,1
8,84.523,11.81,0,108,5,1
9,70.615,65.035,0,227,5,1
9,70.615,235.985,24,2004,5,1
9,70.615,729.692,74,4095,5,1
9,70.615,1148.385,212,4095,5,1
9,70.615,1023.968,192,3936,5,1
9,70.615,433.535,86,2685,5,1
9,70.615,154.308,0,501,5,1
9,70.615,54.25,0,200,5,1
9,70.615,26.578,0,149,5,1
10,48.925,50.151,0,170,5,1
10,48.925,157.871,30,394,5,1
10,48.925,424.628,76,1266,5,1
10,48.925,763.978,227,2459,5,1
10,48.925,840.65,135,2080,5,1
10,48.925,525.213,127,1516,5,1
10,48.925,226.961,6,639,5,1
10,48.925,81.252,0,293,5,1
10,48.925,41.212,0,175,5,1
11,99.176,78.11,0,219,5,1
11,99.176,222.623,45,595,5,1
11,99.176,646.571,162,1920,5,1
11,99.176,1226.678,363,3214,5,1
11,99.176,1481.149,274,4095,5,1
11,99.176,1264.058,399,3663,5,1
11,99.176,594.087,177,1624,5,1
11,99.176,203.74,21,477,5,1
11,99.176,97.567,0,265,5,1
1,146.528,608.734,144,2000,8,1
1,146.528,2283.895,594,4095,8,1
1,146.528,2954.735,547,4095,8,1
1,146.528,2400.73,271,4095,8,1
1,146.528,1135.953,81,4095,8,1
1,146.528,476.757,0,3183,8,1
1,146.528,209.12,0,1200,8,1
2,62.419,736.164,142,4095,8,1
2,62.419,2186.851,464,4095,8,1
2,62.419,2464.21,876,4095,8,1
2,62.419,1799.276,450,4095,8,1
2,62.419,662.674,106,2854,8,1
2,62.419,282.786,24,954,8,1
2,62.419,131.344,0,402,8,1
3,105.715,138.878,0,487,8,1
3,105.715,512.493,54,3268,8,1
3,105.715,1201.704,258,4095,8,1
3,105.715,2087.718,462,4095,8,1
3,105.715,1770.101,366,4095,8,1
3,105.715,749.921,183,2115,8,1
3,105.715,287.758,12,834,8,1
4,206.05,155.444,0,516,8,1
4,206.05,652.048,71,2680,8,1
4,206.05,1583.538,236,4095,8,1
4,206.05,2069.076,238,4095,8,1
4,206.05,1429.182,211,4095,8,1
4,206.05,693.96,33,4095,8,1
4,206.05,292.619,0,2706,8,1
5,50.333,167.285,0,427,8,1
5,50.333,500.049,68,1636,8,1
5,50.333,1543.607,359,4095,8,1
5,50.333,2838.88,989,4095,8,1
5,50.333,3023.641,1288,4095,8,1
5,50.333,2142.036,710,4095,8,1
5,50.333,862.436,179,4095,8,1
6,175.171,96.256,0,377,8,1
6,175.171,315.667,8,2454,8,1
6,175.171,953.847,194,4095,8,1
6,175.171,1719.391,330,4095,8,1
6,175.171,1258.636,295,3298,8,1
6,175.171,512.587,94,2067,8,1
6,175.171,207.498,0,723,8,1
7,29.802,173.806,3,417,8,1
7,29.802,548.019,155,1240,8,1
7,29.802,1734.444,560,4095,8,1
7,29.802,3031.614,1239,4095,8,1
7,29.802,3002.475,1163,4095,8,1
7,29.802,1779.078,421,4095,8,1
7,29.802,570.142,134,1435,8,1
