 ,Area,Mean,Min,Max
1,137.091,729.307,134,3646
2,137.091,1211.303,245,4095
3,137.091,1077.652,202,4095
4,137.091,734.580,151,4095
5,137.091,401.130,6,2554
6,137.091,158.205,0,829
7,137.091,57.310,0,320
8,137.091,15.648,0,175
9,137.091,6.681,0,141
10,137.091,555.141,48,4095
11,137.091,537.764,94,4095
12,137.091,371.385,47,4095
13,137.091,209.689,13,4095
14,137.091,137.501,9,4095
15,137.091,78.900,0,3088
16,137.091,43.265,0,930
17,137.091,20.504,0,236
18,137.091,12.399,0,152
19,102.652,1644.602,307,4095
20,102.652,2210.441,577,4095
21,102.652,1703.260,511,4095
22,102.652,981.875,163,4095
23,102.652,528.822,61,2974
24,102.652,242.357,0,1002
25,102.652,106.223,0,415
26,102.652,38.347,0,231
27,102.652,18.763,0,174
28,102.652,498.513,26,1527
29,102.652,525.916,55,1519
30,102.652,324.936,22,1541
31,102.652,166.144,0,880
32,102.652,95.115,0,364
33,102.652,48.964,0,251
34,102.652,25.000,0,118
35,102.652,11.785,0,93
36,102.652,7.581,0,70
37,163.913,2259.784,486,4095
38,163.913,2273.591,0,4095
39,163.913,1155.587,0,4095
40,163.913,504.269,0,2257
41,163.913,289.279,0,1111
42,163.913,139.813,0,580
43,163.913,63.042,0,344
44,163.913,25.162,0,184
45,163.913,13.558,0,156
46,163.913,825.949,64,2161
47,163.913,567.444,51,2566
48,163.913,235.793,9,809
49,163.913,111.153,0,333
50,163.913,67.125,0,274
51,163.913,35.778,0,154
52,163.913,20.546,0,156
53,163.913,12.666,0,104
54,163.913,7.722,0,75
55,112.587,3125.715,1080,4095
56,112.587,3507.165,1388,4095
57,112.587,3157.786,905,4095
58,112.587,1957.054,359,4095
59,112.587,1088.507,243,2927
60,112.587,527.354,89,1271
61,112.587,248.348,3,528
62,112.587,108.146,0,357
63,112.587,58.762,0,249
64,112.587,657.578,114,1689
65,112.587,617.963,91,1605
66,112.587,421.829,39,1297
67,112.587,212.824,0,868
68,112.587,125.436,0,375
69,112.587,66.794,0,228
70,112.587,34.001,0,144
71,112.587,18.850,0,141
72,112.587,10.726,0,71
73,113.249,2887.781,834,4095
74,113.249,3340.534,1190,4095
75,113.249,2996.930,867,4095
76,113.249,2035.050,294,4095
77,113.249,1240.777,164,4095
78,113.249,543.794,0,2381
79,113.249,247.809,0,943
80,113.249,102.227,0,412
81,113.249,51.954,0,265
82,113.249,546.446,37,2138
83,113.249,503.118,54,1479
84,113.249,349.987,43,1043
85,113.249,198.432,0,712
86,113.249,118.893,0,412
87,113.249,60.363,0,261
88,113.249,32.238,0,154
89,113.249,16.280,0,108
90,113.249,9.673,0,80
91,129.143,2515.167,830,4095
92,129.143,3116.810,994,4095
93,129.143,3190.612,682,4095
94,129.143,2859.133,254,4095
95,129.143,1910.219,190,4095
96,129.143,813.204,0,2566
97,129.143,356.953,0,1007
98,129.143,151.623,0,486
99,129.143,77.657,0,300
100,129.143,658.855,92,2045
101,129.143,691.068,108,1632
102,129.143,657.150,81,2000
103,129.143,451.828,47,2041
104,129.143,261.782,23,1270
105,129.143,115.146,0,433
106,129.143,53.551,0,224
107,129.143,25.144,0,154
108,129.143,14.334,0,93
109,137.753,2408.294,555,4095
110,137.753,2922.020,535,4095
111,137.753,2366.156,531,4095
112,137.753,1216.892,276,4095
113,137.753,664.311,86,2142
114,137.753,318.150,0,866
115,137.753,141.805,0,394
116,137.753,57.747,0,246
117,137.753,28.291,0,201
118,137.753,665.288,70,1936
119,137.753,663.302,46,1685
120,137.753,375.252,35,1400
121,137.753,164.817,17,431
122,137.753,95.350,0,282
123,137.753,49.103,0,168
124,137.753,26.071,0,130
125,137.753,13.410,0,98
126,137.753,8.719,0,108
127,65.565,1821.629,411,4095
128,65.565,3125.871,633,4095
129,65.565,3117.434,888,4095
130,65.565,2664.040,396,4095
131,65.565,1734.072,197,4095
132,65.565,725.514,38,2532
133,65.565,316.021,0,866
134,65.565,129.403,0,376
135,65.565,59.922,0,312
136,65.565,504.963,23,1440
137,65.565,717.372,102,1574
138,65.565,693.605,134,1617
139,65.565,470.785,94,1383
140,65.565,262.806,13,1048
141,65.565,123.381,0,439
142,65.565,55.768,0,198
143,65.565,26.929,0,139
144,65.565,15.571,0,103
