 ,Area,Mean,Min,Max
1,92.718,900.041,67,2903
2,92.718,603.920,80,1706
3,92.718,237.460,10,754
4,92.718,123.101,0,449
5,92.718,76.013,0,311
6,92.718,41.581,0,169
7,92.718,21.649,0,118
8,92.718,10.932,0,95
9,92.718,7.985,0,86
10,66.145,968.551,215,3504
11,66.145,318.263,73,935
12,66.145,132.009,16,347
13,66.145,66.861,0,218
14,66.145,45.272,0,174
15,66.145,30.637,0,158
16,66.145,16.673,0,121
17,66.145,9.791,0,80
18,66.145,6.871,0,82
19,96.526,964.235,144,2544
20,96.526,476.297,105,1328
21,96.526,212.822,15,705
22,96.526,104.113,0,277
23,96.526,69.702,0,215
24,96.526,39.897,0,201
25,96.526,23.095,0,116
26,96.526,13.030,0,106
27,96.526,8.107,0,78
28,84.771,1171.309,299,2994
29,84.771,1112.578,256,3835
30,84.771,602.781,110,2007
31,84.771,276.852,11,909
32,84.771,163.323,0,465
33,84.771,89.992,0,325
34,84.771,46.347,0,195
35,84.771,22.899,0,136
36,84.771,13.840,0,116
37,137.091,1076.658,22,3670
38,137.091,467.841,68,1481
39,137.091,193.836,18,573
40,137.091,99.845,0,316
41,137.091,63.992,0,195
42,137.091,37.207,0,217
43,137.091,21.051,0,123
44,137.091,12.389,0,122
45,137.091,7.836,0,80
46,84.523,973.985,110,3095
47,84.523,917.423,117,3410
48,84.523,419.966,60,1948
49,84.523,204.591,4,796
50,84.523,119.450,0,395
51,84.523,65.001,0,213
52,84.523,36.617,0,176
53,84.523,18.042,0,108
54,84.523,11.810,0,108
55,70.615,65.035,0,227
56,70.615,235.985,24,2004
57,70.615,729.692,74,4095
58,70.615,1148.385,212,4095
59,70.615,1023.968,192,3936
60,70.615,433.535,86,2685
61,70.615,154.308,0,501
62,70.615,54.250,0,200
63,70.615,26.578,0,149
64,48.925,50.151,0,170
65,48.925,157.871,30,394
66,48.925,424.628,76,1266
67,48.925,763.978,227,2459
68,48.925,840.650,135,2080
69,48.925,525.213,127,1516
70,48.925,226.961,6,639
71,48.925,81.252,0,293
72,48.925,41.212,0,175
73,99.176,78.110,0,219
74,99.176,222.623,45,595
75,99.176,646.571,162,1920
76,99.176,1226.678,363,3214
77,99.176,1481.149,274,4095
78,99.176,1264.058,399,3663
79,99.176,594.087,177,1624
80,99.176,203.740,21,477
81,99.176,97.567,0,265
