 ,Area,Mean,Min,Max
1,132.455,98.180,0,325
2,132.455,367.052,71,971
3,132.455,1189.981,302,3697
4,132.455,2880.391,981,4095
5,132.455,3655.435,1414,4095
6,132.455,3742.787,964,4095
7,132.455,2863.041,492,4095
8,132.455,900.825,128,2432
9,132.455,374.084,0,819
10,132.455,46.039,0,176
11,132.455,173.210,7,1619
12,132.455,513.754,54,4095
13,132.455,767.021,154,4067
14,132.455,821.149,138,1864
15,132.455,756.967,115,2253
16,132.455,389.871,74,1989
17,132.455,113.422,0,339
18,132.455,50.219,0,221
19,106.543,79.740,0,345
20,106.543,260.373,0,886
21,106.543,623.339,133,2159
22,106.543,1331.534,357,4095
23,106.543,2154.838,589,4095
24,106.543,2672.885,839,4095
25,106.543,2588.035,569,4095
26,106.543,1660.390,212,4095
27,106.543,657.293,24,2666
28,106.543,34.246,0,154
29,106.543,101.298,0,296
30,106.543,251.847,30,1272
31,106.543,401.608,30,1143
32,106.543,472.463,61,1271
33,106.543,500.792,59,1423
34,106.543,419.855,62,1280
35,106.543,198.288,1,661
36,106.543,83.068,0,295
37,149.012,33.871,0,220
38,149.012,164.432,0,594
39,149.012,513.089,42,2147
40,149.012,1465.810,272,4095
41,149.012,2517.501,753,4095
42,149.012,3086.997,883,4095
43,149.012,2764.418,569,4095
44,149.012,1045.367,133,4095
45,149.012,379.401,30,890
46,149.012,58.424,0,189
47,149.012,172.428,10,475
48,149.012,510.675,37,1798
49,149.012,923.506,115,3210
50,149.012,1108.187,161,2954
51,149.012,1130.059,196,2421
52,149.012,802.147,138,2587
53,149.012,277.485,8,1293
54,149.012,118.512,0,318
