 ,Area,Mean,Min,Max
1,244.710,49.541,0,292
2,244.710,197.479,0,729
3,244.710,627.439,36,3072
4,244.710,2385.795,243,4095
5,244.710,3501.936,1066,4095
6,244.710,3287.738,543,4095
7,244.710,3067.321,428,4095
8,244.710,90.698,0,407
9,244.710,279.219,0,2460
10,244.710,883.045,71,4095
11,244.710,1551.182,225,4095
12,244.710,1610.187,228,4095
13,244.710,1571.445,125,3696
14,244.710,1353.806,158,4095
15,463.592,103.630,0,594
16,463.592,338.903,0,1661
17,463.592,813.296,116,3943
18,463.592,1819.646,435,4095
19,463.592,2965.257,775,4095
20,463.592,2928.207,463,4095
21,463.592,1912.567,221,4095
22,463.592,72.212,0,380
23,463.592,213.452,0,965
24,463.592,511.511,5,2651
25,463.592,862.405,18,2893
26,463.592,1047.971,79,2904
27,463.592,995.682,85,3598
28,463.592,582.690,24,3550
29,72.519,51.985,0,282
30,72.519,257.256,0,998
31,72.519,984.861,171,3260
32,72.519,2727.962,718,4095
33,72.519,3259.402,655,4095
34,72.519,2944.318,718,4095
35,72.519,1688.100,169,4095
36,72.519,100.667,0,330
37,72.519,346.434,21,1088
38,72.519,1104.285,66,3722
39,72.519,1901.257,204,4095
40,72.519,1899.716,273,4095
41,72.519,1377.816,234,4095
42,72.519,589.514,44,2818
